id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;1;0;1
7;0.0;1;0;0;2
8;0.0;1;0;0;3
9;0.0;1;1;0;1
10;0.0;1;0;0;2
11;0.0;1;0;0;3
12;0.0;1;1;0;1
13;0.0;1;0;0;2
14;0.0;1;0;0;3
15;0.0;1;1;0;1
16;0.0;1;0;0;2
17;0.0;1;0;0;3
18;66.94;1;1;0;1
19;0.0;1;0;0;2
20;0.0;1;0;0;3
21;98.44;1;1;0;1
22;0.0;1;0;0;2
23;0.0;1;0;0;3
24;98.44;1;1;0;1
25;0.0;1;0;0;2
26;0.0;1;0;0;3
27;98.44;1;1;0;1
28;0.0;1;0;0;2
29;0.0;1;0;0;3
30;98.44;1;1;0;1
31;0.0;1;0;0;2
32;0.0;1;0;0;3
33;98.44;1;1;0;1
34;0.0;1;0;0;2
35;0.0;1;0;0;3
36;98.44;1;1;0;1
37;0.0;1;0;0;2
38;0.0;1;0;0;3
39;98.44;1;1;0;1
40;0.0;1;0;0;2
41;0.0;1;0;0;3
42;98.44;1;1;0;1
43;0.0;1;0;0;2
44;0.0;1;0;0;3
45;98.44;1;1;0;1
46;0.0;1;0;0;2
47;0.0;1;0;0;3
48;98.44;1;1;0;1
49;0.0;1;0;0;2
50;0.0;1;0;0;3
51;98.44;1;1;0;1
52;0.0;1;0;0;2
53;0.0;1;0;0;3
54;98.44;1;1;0;1
55;0.0;1;0;0;2
56;0.0;1;0;0;3
57;98.44;1;1;0;1
58;0.0;1;0;0;2
59;0.0;1;0;0;3
60;98.44;1;1;0;1
61;0.0;1;0;0;2
62;0.0;1;0;0;3
63;98.44;1;1;0;1
64;0.0;1;0;0;2
65;0.0;1;0;0;3
66;98.44;1;1;0;1
67;0.0;1;0;0;2
68;0.0;1;0;0;3
69;98.44;1;1;0;1
70;0.0;1;0;0;2
71;0.0;1;0;0;3
72;98.44;1;1;0;1
73;0.0;1;0;0;2
74;0.0;1;0;0;3
75;98.44;1;1;0;1
76;0.0;1;0;0;2
77;0.0;1;0;0;3
78;98.44;1;1;0;1
79;0.0;1;0;0;2
80;0.0;1;0;0;3
81;98.44;1;1;0;1
82;0.0;1;0;0;2
83;0.0;1;0;0;3
84;98.44;1;1;0;1
85;0.0;1;0;0;2
86;0.0;1;0;0;3
87;98.44;1;1;0;1
88;0.0;1;0;0;2
89;0.0;1;0;0;3
90;98.44;1;1;0;1
91;0.0;1;0;0;2
92;0.0;1;0;0;3
93;98.44;1;1;0;1
94;0.0;1;0;0;2
95;0.0;1;0;0;3
96;98.44;1;1;0;1
97;0.0;1;0;0;2
98;0.0;1;0;0;3
99;98.44;1;1;0;1
100;0.0;1;0;0;2
101;0.0;1;0;0;3
102;98.44;1;1;0;1
103;0.0;1;0;0;2
104;0.0;1;0;0;3
